Name,Price,Cpu,Ram,Storage,Display,Graphics
Laptop Cũ Dell Latitude E5470 - Intel Core i5,5.990.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,14 Inch HD,Intel HD 520
Laptop cũ HP Probook 450 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,15.6 Inch HD,Intel HD 520
Laptop Lenovo Thinkpad X1 Carbon Gen 3 - Intel Core i7,Liên Hệ,i7 - 5600U,8GB DDR3L,SSD 240GB,"14"" Full HD",Intel HD Graphics
Macbook Air 13.3 2015 Cũ - Intel Core i5,Liên Hệ,i5 - 1.6Ghz,4GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop cũ HP Zbook 15 G2 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3,SSD 256GB,"15.6"" Full HD",Quadro K1100
Laptop Cũ Dell Latitude E7250 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 5500
Laptop cũ HP Elitebook 840 G4 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop cũ Lenovo Thinkpad T440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Folio 9480m - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,"14"" HD | HD+",Intel HD 4000
Laptop HP Probook 640 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4600
Laptop Cũ HP Elitebook Folio 9470m - Intel Core i5,Liên Hệ,i5 - 3427U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4000
Laptop Cũ Dell Latitude E5440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Probook 450 G2 - Intel Core i5,Liên Hệ,i5 - 4210U,4GB DDR3,SSD 120GB,15.6 Inch Full HD,Intel HD 4400
Laptop cũ Dell Latitude E7240 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,12.5 Inch HD,Intel HD 4400
Laptop Cũ Dell Latitude E6430s Intel Core i5,Liên Hệ,,,,,
Laptop Lenovo Thinkpad T440s - Intel Core i5,4.990.000 đ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD+,Intel HD 4400
Laptop cũ HP Elitebook 840 G1 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Mercedes E400 2014 (Test),Liên Hệ,,,,,
Laptop Cũ Dell Latitude E5530 - Intel Core i5,Liên Hệ,Core i5 3210M,4GB DDR3,SSD 120GB,"15.6"" Full HD",Intel HD 4000
Laptop cũ HP Probook 450 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3L,SSD 128GB NVMe,15.6 inch HD,Intel HD Graphics
Laptop cũ HP Probook 4540s - Intel Core i5,Liên Hệ,i5 - 3210M,4GB DDR3,SSD 128GB,15.6 Inch HD,Intel HD 4000
Laptop Cũ HP Elitebook 850 G2 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,"15.6"" Full HD",Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460s Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 240GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude E3570 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,15.6 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G2 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB PC3L,SSD 120GB,14 Inch HD,Intel HD 5500
Laptop Dell XPS 13 9360 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Lenovo Thinkpad T450s - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 128GB,14 Inch HD+,Intel HD 5500
Laptop Cũ Dell Precision M3800 - Intel Core i7,Liên Hệ,i7 - 4712HQ,8GB DDR3,SSD 256GB,15.6 Inch 3K,Quadro K1100
Laptop Cũ Dell Latitude E5470 - Intel Core i5,5.990.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,14 Inch HD,Intel HD 520
Laptop cũ HP Probook 450 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,15.6 Inch HD,Intel HD 520
Laptop Lenovo Thinkpad X1 Carbon Gen 3 - Intel Core i7,Liên Hệ,i7 - 5600U,8GB DDR3L,SSD 240GB,"14"" Full HD",Intel HD Graphics
Macbook Air 13.3 2015 Cũ - Intel Core i5,Liên Hệ,i5 - 1.6Ghz,4GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop cũ HP Zbook 15 G2 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3,SSD 256GB,"15.6"" Full HD",Quadro K1100
Laptop Cũ Dell Latitude E7250 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 5500
Laptop cũ HP Elitebook 840 G4 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop cũ Lenovo Thinkpad T440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Folio 9480m - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,"14"" HD | HD+",Intel HD 4000
Laptop HP Probook 640 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4600
Laptop Cũ HP Elitebook Folio 9470m - Intel Core i5,Liên Hệ,i5 - 3427U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4000
Laptop Cũ Dell Latitude E5440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Probook 450 G2 - Intel Core i5,Liên Hệ,i5 - 4210U,4GB DDR3,SSD 120GB,15.6 Inch Full HD,Intel HD 4400
Laptop cũ Dell Latitude E7240 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,12.5 Inch HD,Intel HD 4400
Laptop Cũ Dell Latitude E6430s Intel Core i5,Liên Hệ,,,,,
Laptop Lenovo Thinkpad T440s - Intel Core i5,4.990.000 đ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD+,Intel HD 4400
Laptop cũ HP Elitebook 840 G1 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Mercedes E400 2014 (Test),Liên Hệ,,,,,
Laptop Cũ Dell Latitude E5530 - Intel Core i5,Liên Hệ,Core i5 3210M,4GB DDR3,SSD 120GB,"15.6"" Full HD",Intel HD 4000
Laptop cũ HP Probook 450 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3L,SSD 128GB NVMe,15.6 inch HD,Intel HD Graphics
Laptop cũ HP Probook 4540s - Intel Core i5,Liên Hệ,i5 - 3210M,4GB DDR3,SSD 128GB,15.6 Inch HD,Intel HD 4000
Laptop Cũ HP Elitebook 850 G2 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,"15.6"" Full HD",Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460s Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 240GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude E3570 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,15.6 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G2 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB PC3L,SSD 120GB,14 Inch HD,Intel HD 5500
Laptop Dell XPS 13 9360 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Lenovo Thinkpad T450s - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 128GB,14 Inch HD+,Intel HD 5500
Laptop Cũ Dell Precision M3800 - Intel Core i7,Liên Hệ,i7 - 4712HQ,8GB DDR3,SSD 256GB,15.6 Inch 3K,Quadro K1100
Laptop Cũ Dell Latitude E5470 - Intel Core i5,5.990.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,14 Inch HD,Intel HD 520
Laptop cũ HP Probook 450 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,15.6 Inch HD,Intel HD 520
Laptop Lenovo Thinkpad X1 Carbon Gen 3 - Intel Core i7,Liên Hệ,i7 - 5600U,8GB DDR3L,SSD 240GB,"14"" Full HD",Intel HD Graphics
Macbook Air 13.3 2015 Cũ - Intel Core i5,Liên Hệ,i5 - 1.6Ghz,4GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop cũ HP Zbook 15 G2 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3,SSD 256GB,"15.6"" Full HD",Quadro K1100
Laptop Cũ Dell Latitude E7250 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 5500
Laptop cũ HP Elitebook 840 G4 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop cũ Lenovo Thinkpad T440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Folio 9480m - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,"14"" HD | HD+",Intel HD 4000
Laptop HP Probook 640 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4600
Laptop Cũ HP Elitebook Folio 9470m - Intel Core i5,Liên Hệ,i5 - 3427U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4000
Laptop Cũ Dell Latitude E5440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Probook 450 G2 - Intel Core i5,Liên Hệ,i5 - 4210U,4GB DDR3,SSD 120GB,15.6 Inch Full HD,Intel HD 4400
Laptop cũ Dell Latitude E7240 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,12.5 Inch HD,Intel HD 4400
Laptop Cũ Dell Latitude E6430s Intel Core i5,Liên Hệ,,,,,
Laptop Lenovo Thinkpad T440s - Intel Core i5,4.990.000 đ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD+,Intel HD 4400
Laptop cũ HP Elitebook 840 G1 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Mercedes E400 2014 (Test),Liên Hệ,,,,,
Laptop Cũ Dell Latitude E5530 - Intel Core i5,Liên Hệ,Core i5 3210M,4GB DDR3,SSD 120GB,"15.6"" Full HD",Intel HD 4000
Laptop cũ HP Probook 450 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3L,SSD 128GB NVMe,15.6 inch HD,Intel HD Graphics
Laptop cũ HP Probook 4540s - Intel Core i5,Liên Hệ,i5 - 3210M,4GB DDR3,SSD 128GB,15.6 Inch HD,Intel HD 4000
Laptop Cũ HP Elitebook 850 G2 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,"15.6"" Full HD",Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460s Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 240GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude E3570 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,15.6 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G2 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB PC3L,SSD 120GB,14 Inch HD,Intel HD 5500
Laptop Dell XPS 13 9360 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Lenovo Thinkpad T450s - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 128GB,14 Inch HD+,Intel HD 5500
Laptop Cũ Dell Precision M3800 - Intel Core i7,Liên Hệ,i7 - 4712HQ,8GB DDR3,SSD 256GB,15.6 Inch 3K,Quadro K1100
Laptop Cũ Dell Latitude E5470 - Intel Core i5,5.990.000 đ,i5 - 6200U,8GB DDR4,SSD 240GB,14 Inch HD,Intel HD 520
Laptop cũ HP Probook 450 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,15.6 Inch HD,Intel HD 520
Laptop Lenovo Thinkpad X1 Carbon Gen 3 - Intel Core i7,Liên Hệ,i7 - 5600U,8GB DDR3L,SSD 240GB,"14"" Full HD",Intel HD Graphics
Macbook Air 13.3 2015 Cũ - Intel Core i5,Liên Hệ,i5 - 1.6Ghz,4GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop cũ HP Zbook 15 G2 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3,SSD 256GB,"15.6"" Full HD",Quadro K1100
Laptop Cũ Dell Latitude E7250 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,12.5 Inch HD,Intel HD 5500
Laptop cũ HP Elitebook 840 G4 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop cũ Lenovo Thinkpad T440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Folio 9480m - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,"14"" HD | HD+",Intel HD 4000
Laptop HP Probook 640 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4600
Laptop Cũ HP Elitebook Folio 9470m - Intel Core i5,Liên Hệ,i5 - 3427U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4000
Laptop Cũ Dell Latitude E5440 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,14 Inch HD,Intel HD 4400
Laptop cũ HP Probook 450 G2 - Intel Core i5,Liên Hệ,i5 - 4210U,4GB DDR3,SSD 120GB,15.6 Inch Full HD,Intel HD 4400
Laptop cũ Dell Latitude E7240 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3,SSD 120GB,12.5 Inch HD,Intel HD 4400
Laptop Cũ Dell Latitude E6430s Intel Core i5,Liên Hệ,,,,,
Laptop Lenovo Thinkpad T440s - Intel Core i5,4.990.000 đ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD+,Intel HD 4400
Laptop cũ HP Elitebook 840 G1 - Intel Core i5,Liên Hệ,i5 - 4200U,4GB DDR3L,SSD 120GB,14 Inch HD,Intel HD 4400
Mercedes E400 2014 (Test),Liên Hệ,,,,,
Laptop Cũ Dell Latitude E5530 - Intel Core i5,Liên Hệ,Core i5 3210M,4GB DDR3,SSD 120GB,"15.6"" Full HD",Intel HD 4000
Laptop cũ HP Probook 450 G1 - Intel Core i5,Liên Hệ,i5 - 4200M,4GB DDR3L,SSD 128GB NVMe,15.6 inch HD,Intel HD Graphics
Laptop cũ HP Probook 4540s - Intel Core i5,Liên Hệ,i5 - 3210M,4GB DDR3,SSD 128GB,15.6 Inch HD,Intel HD 4000
Macbook Air 2017 13 inch cũ (i5 1.8Ghz/RAM 8GB/SSD 128GB),Liên Hệ,i5 - 1.7Ghz,8GB DDR3L,SSD 128GB,13.3 Inch HD+,Intel HD 600
Laptop Cũ Lenovo Thinkpad L460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD Graphics
Laptop Cũ HP Notebook 14s cr2005tu - Intel Core i5,Liên Hệ,i5 - 10210U,8GB DDR4,SSD 240GB,14'' Full HD,Intel UHD Graphics
Laptop cũ Lenovo Thinkpad T460p - Intel Core i5,Liên Hệ,i5 - 6640HQ,8GB DDR4,SSD 240GB,"14"" Full HD",Intel UHD Graphics
Laptop Cũ HP EliteBook 840 G6 - Intel Core i5,Liên Hệ,i5 - 8365U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD Graphics
Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 5 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB LPDDR3,SSD 256GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude 5501 - Intel Core i7,Liên Hệ,Intel Core i7-9850H,16GB DDR5,SSD 256GB NVMe,15.6 inch Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 7380 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude 5290 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,12.5 Inch HD,Intel HD 620
Macbook Pro 2015 13 inch Retina Cũ - Intel Core i7 3.1GHz,Liên Hệ,i7 - 3.1Ghz,16GB LPDDR3,SSD 256GB,13.3'' Retina,Intel Graphics 6100
Laptop Cũ Dell Precision 3530 - Intel Core i7,12.990.000 đ,i7 - 8750H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Nvidia P600
Laptop Cũ Dell Precision 5530 - Intel Core i5,Liên Hệ,i5 - 8300H,16GB DDR4,SSD 240GB,15.6'' Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 5590 - Intel Core i7,9.690.000 đ,i7 - 8650U,8GB DDR4,SSD 256GB,15.6 Inch FHD,Intel HD 620
Laptop Cũ Lenovo Thinkpad L570 - Intel Core i5,6.490.000 đ,i5 - 7200U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel UHD Graphics
Laptop Cũ Dell Latitude 7380 - Intel Core i7,7.390.000 đ,i7 - 6600U,8GB DDR4,SSD 240GB,13.3'' Full HD,Intel HD 520
Laptop Cũ Dell Precision M2800 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3L,SSD 256GB,"15.6"" Full HD",AMD W4170M
Laptop Cũ HP Elitebook 745 G3 - AMD A10,Liên Hệ,AMD A10,8GB PC3,SSD 256GB,14 Inch HD,AMD Radeon R6
Laptop cũ Lenovo Thinkpad Yoga  X1 Gen 1 - Intel Core i7,Liên Hệ,i7 - 6600U,16GB DDR3,SSD 240GB,14 Inch 2K,Intel HD 520
Laptop Cũ Dell Latitude 3350 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ Dell Latitude 3340 - Intel Core i3,Liên Hệ,i3 - 5005U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ HP Elitebook 820 G2 - Intel Core i7,Liên Hệ,i7 - 5600U,4GB DDR3,SSD 128GB,12.5 Inch HD,Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,"14"" Full HD",Intel UHD 520
Laptop Cũ Lenovo Thinkpad X280 - Intel Core i5,Liên Hệ,i5 - 8350U,8GB DDR4,SSD 256GB,"12.5"" Full HD",Intel UHD 620
Macbook Air Cũ 13 inch 2017 - Intel Core i7 2.2 Ghz,Liên Hệ,i7 - 2.2GHz,8GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop Cũ Lenovo Thinkpad T480s - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Cũ Macbook Pro 13 Retina 2013 - Intel Core i5,Liên Hệ,i5 2.4Ghz,16GB DDR4 onmain,SSD 256GB,13 inch Retina,Intel Iris 5100 Graphics
Laptop Cũ HP Folio Elitebook 1040 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,16GB Onmain,SSD 240GB,"14"" Full HD",Intel HD 520
Laptop Cũ Lenovo ThinkPad X260 - Intel Core i5,Liên Hệ,i5-6200U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop Workstation Cũ HP Zbook Studio G3 - Intel Xeon E3 1505,Liên Hệ,Xeon E3 1505M,8GB DDR4,SSD 256GB,"15.6"" Full HD",Quadro M1000
Laptop Cũ Dell Latitude 5285 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB on main,SSD 256GB,"12.5"" Full HD",Intel HD 620
Laptop Cũ HP Elitebook 820 G3 - Intel Core i7,Liên Hệ,i7 - 6600U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop cũ HP Elitebook 840 G5 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude E5480 - Intel Core i7,7.190.000 đ,i7-7820HQ,8GB DDR4,SSD 256GB,14 Inch Full HD,Nvidia GT 930M
Macbook Pro Retina 13 inch 2016 - Intel Core i5 2.9GHz,Liên Hệ,i5 - 2.9Ghz,16GB Onmain,SSD 500GB,13.3'' Retina,Intel Iris Pro 550
Laptop Cũ Lenovo Thinkpad X270 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,12.5'' Full HD,Intel HD 520
Laptop Cũ HP Probook 430 G3 - Intel Core i5,Liên Hệ,i5-6200U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 520
Laptop Cũ Dell Latitude 3580 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB,SSD 256GB,15.6 Inch HD,Intel HD 620
Laptop Gaming Cũ Dell Inspiron G7 7588 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 240GB,"15.6"" Full HD",GTX 1060
Laptop Cũ Lenovo Thinkpad T480 - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UD 620
Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i5,Liên Hệ,i5 - 8300H,8GB DDR4,SSD 256GB,15.6'' Full HD,Nvidia GTX 1050
Macbook Air 2017 13 inch cũ (i5 1.8Ghz/RAM 8GB/SSD 128GB),Liên Hệ,i5 - 1.7Ghz,8GB DDR3L,SSD 128GB,13.3 Inch HD+,Intel HD 600
Laptop Cũ Lenovo Thinkpad L460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR4,SSD 256GB,14 Inch HD,Intel HD Graphics
Laptop Cũ HP Notebook 14s cr2005tu - Intel Core i5,Liên Hệ,i5 - 10210U,8GB DDR4,SSD 240GB,14'' Full HD,Intel UHD Graphics
Laptop cũ Lenovo Thinkpad T460p - Intel Core i5,Liên Hệ,i5 - 6640HQ,8GB DDR4,SSD 240GB,"14"" Full HD",Intel UHD Graphics
Laptop Cũ HP EliteBook 840 G6 - Intel Core i5,Liên Hệ,i5 - 8365U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD Graphics
Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 5 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB LPDDR3,SSD 256GB,14'' Full HD,Intel HD 520
Laptop Cũ Dell Latitude 5501 - Intel Core i7,Liên Hệ,Intel Core i7-9850H,16GB DDR5,SSD 256GB NVMe,15.6 inch Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 7380 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB DDR4,SSD 240GB,"13.3"" Full HD",Intel HD 620
Laptop Cũ Dell Latitude 5290 - Intel Core i5,Liên Hệ,i5 - 8250U,8GB DDR4,SSD 256GB,12.5 Inch HD,Intel HD 620
Macbook Pro 2015 13 inch Retina Cũ - Intel Core i7 3.1GHz,Liên Hệ,i7 - 3.1Ghz,16GB LPDDR3,SSD 256GB,13.3'' Retina,Intel Graphics 6100
Laptop Cũ Dell Precision 3530 - Intel Core i7,12.990.000 đ,i7 - 8750H,16GB DDR4,SSD 512GB,"15.6"" Full HD",Nvidia P600
Laptop Cũ Dell Precision 5530 - Intel Core i5,Liên Hệ,i5 - 8300H,16GB DDR4,SSD 240GB,15.6'' Full HD,Intel UHD 630
Laptop Cũ Dell Latitude 5590 - Intel Core i7,9.690.000 đ,i7 - 8650U,8GB DDR4,SSD 256GB,15.6 Inch FHD,Intel HD 620
Laptop Cũ Lenovo Thinkpad L570 - Intel Core i5,6.490.000 đ,i5 - 7200U,8GB DDR4,SSD 256GB,15.6 Inch HD,Intel UHD Graphics
Laptop Cũ Dell Latitude 7380 - Intel Core i7,7.390.000 đ,i7 - 6600U,8GB DDR4,SSD 240GB,13.3'' Full HD,Intel HD 520
Laptop Cũ Dell Precision M2800 - Intel Core i7,Liên Hệ,i7 - 4810MQ,8GB DDR3L,SSD 256GB,"15.6"" Full HD",AMD W4170M
Laptop Cũ HP Elitebook 745 G3 - AMD A10,Liên Hệ,AMD A10,8GB PC3,SSD 256GB,14 Inch HD,AMD Radeon R6
Laptop cũ Lenovo Thinkpad Yoga  X1 Gen 1 - Intel Core i7,Liên Hệ,i7 - 6600U,16GB DDR3,SSD 240GB,14 Inch 2K,Intel HD 520
Laptop Cũ Dell Latitude 3350 - Intel Core i5,Liên Hệ,i5 - 5200U,4GB DDR3L,SSD 120GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ Dell Latitude 3340 - Intel Core i3,Liên Hệ,i3 - 5005U,4GB DDR3,SSD 128GB,13.3 Inch HD,Intel HD 5500
Laptop Cũ HP Elitebook 820 G2 - Intel Core i7,Liên Hệ,i7 - 5600U,4GB DDR3,SSD 128GB,12.5 Inch HD,Intel HD 5500
Laptop Cũ Lenovo Thinkpad T460 - Intel Core i5,Liên Hệ,i5 - 6200U,8GB DDR3,SSD 240GB,"14"" Full HD",Intel UHD 520
Laptop Cũ Lenovo Thinkpad X280 - Intel Core i5,Liên Hệ,i5 - 8350U,8GB DDR4,SSD 256GB,"12.5"" Full HD",Intel UHD 620
Macbook Air Cũ 13 inch 2017 - Intel Core i7 2.2 Ghz,Liên Hệ,i7 - 2.2GHz,8GB Onmain,SSD 128GB,13.3 Inch HD+,Intel HD 6000
Laptop Cũ Lenovo Thinkpad T480s - Intel Core i7,Liên Hệ,i7 - 8650U,8GB DDR4,SSD 240GB,"14"" Full HD",Intel HD 620
Laptop Cũ Macbook Pro 13 Retina 2013 - Intel Core i5,Liên Hệ,i5 2.4Ghz,16GB DDR4 onmain,SSD 256GB,13 inch Retina,Intel Iris 5100 Graphics
Laptop Cũ HP Folio Elitebook 1040 G3 - Intel Core i5,Liên Hệ,i5 - 6200U,16GB Onmain,SSD 240GB,"14"" Full HD",Intel HD 520
Laptop Cũ Lenovo ThinkPad X260 - Intel Core i5,Liên Hệ,i5-6200U,8GB DDR4,SSD 240GB,12.5 Inch HD,Intel HD 520
Laptop Workstation Cũ HP Zbook Studio G3 - Intel Xeon E3 1505,Liên Hệ,Xeon E3 1505M,8GB DDR4,SSD 256GB,"15.6"" Full HD",Quadro M1000
Laptop Cũ Dell Latitude 5285 - Intel Core i5,Liên Hệ,i5 - 7200U,8GB on main,SSD 256GB,"12.5"" Full HD",Intel HD 620
